,hotel_link,hotel_link-href,review_count,hotel_name
912,Junjungan Suite Villa,https://www.tripadvisor.co.id/Hotel_Review-g297701-d2707313-Reviews-or5-Junjungan_Suite_Villa-Ubud_Gianyar_Regency_Bali.html,161,junjungan_suite
920,Brothers Bungalows Balangan,https://www.tripadvisor.co.id/Hotel_Review-g297696-d2679084-Reviews-or5-Brothers_Bungalows_Balangan-Jimbaran_South_Kuta_Bali.html,124,brothers_bungal
962,Grand Mega Resort & Spa,https://www.tripadvisor.co.id/Hotel_Review-g297697-d3179531-Reviews-or5-Grand_Mega_Resort_Spa-Kuta_Kuta_District_Bali.html,537,grand_mega_reso
967,Grand Kuta Hotel and Residence,https://www.tripadvisor.co.id/Hotel_Review-g608487-d1791499-Reviews-or5-Grand_Kuta_Hotel_and_Residence-Legian_Kuta_District_Bali.html,169,grand_kuta_hote
989,Gede Homestay,https://www.tripadvisor.co.id/Hotel_Review-g1600236-d817296-Reviews-or5-Gede_Homestay-Anturan_Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali.html,111,gede_homestay
992,Mega Boutique Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d6922600-Reviews-or5-Mega_Boutique_Hotel-Kuta_Kuta_District_Bali.html,262,mega_boutique_h
993,Kunang-Kunang Guesthouse,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1523308-Reviews-or5-Kunang_Kunang_Guesthouse-Ubud_Gianyar_Regency_Bali.html,145,kunang-kunang_g
996,Paragon Hotel Seminyak,https://www.tripadvisor.co.id/Hotel_Review-g469404-d7037893-Reviews-or5-Paragon_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html,220,paragon_hotel_s
1000,Jiwa Klusa Luxury Villa,https://www.tripadvisor.co.id/Hotel_Review-g608492-d3930937-Reviews-or5-Jiwa_Klusa_Luxury_Villa-Payangan_Gianyar_Regency_Bali.html,106,jiwa_klusa_luxu
1002,Laguna Reef Huts,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d6850488-Reviews-or5-Laguna_Reef_Huts-Nusa_Lembongan_Bali.html,118,laguna_reef_hut
1008,Balivillas.com Estate,https://www.tripadvisor.co.id/Hotel_Review-g1219108-d632421-Reviews-or5-Balivillas_com_Estate-Ungasan_Bukit_Peninsula_Bali.html,102,balivillas.com_
1019,Adi Cottages,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1206351-Reviews-or5-Adi_Cottages-Ubud_Gianyar_Regency_Bali.html,126,adi_cottages
1037,Sunerra D'djabu Seminyak,https://www.tripadvisor.co.id/Hotel_Review-g469404-d1587090-Reviews-or5-Sunerra_D_djabu_Seminyak-Seminyak_Kuta_District_Bali.html,259,sunerra_d'djabu
